census division,housing types,vintage,value
56,28,2009,0.03907
56,28,2010,0.11544
56,28,2011,0.12275
56,28,2012,0.0693
56,29,2009,0.0
56,29,2010,0.0
56,29,2011,0.0
56,29,2012,0.0
56,30,2009,0.0
56,30,2010,0.0
56,30,2011,0.0
56,30,2012,0.0
57,28,2009,0.00232
57,28,2010,0.01153
57,28,2011,0.001
57,28,2012,0.0096
57,29,2009,0.0
57,29,2010,0.0
57,29,2011,0.0
57,29,2012,0.0
57,30,2009,0.0
57,30,2010,0.0
57,30,2011,0.0
57,30,2012,0.0
58,28,2009,0.0
58,28,2010,0.0
58,28,2011,0.0
58,28,2012,0.0
58,29,2009,0.0
58,29,2010,0.0
58,29,2011,0.0
58,29,2012,0.0
58,30,2009,0.0
58,30,2010,0.0
58,30,2011,0.0
58,30,2012,0.0
59,28,2009,0.0
59,28,2010,0.0
59,28,2011,0.0
59,28,2012,0.0
59,29,2009,0.0
59,29,2010,0.0
59,29,2011,0.0
59,29,2012,0.0
59,30,2009,0.0
59,30,2010,0.0
59,30,2011,0.0
59,30,2012,0.0
60,28,2009,0.0
60,28,2010,0.00018
60,28,2011,0.0
60,28,2012,0.0
60,29,2009,0.0
60,29,2010,0.0
60,29,2011,0.0
60,29,2012,0.0
60,30,2009,0.0
60,30,2010,0.0
60,30,2011,0.0
60,30,2012,0.0
61,28,2009,0.0
61,28,2010,0.0
61,28,2011,0.0
61,28,2012,0.0
61,29,2009,0.0
61,29,2010,0.0
61,29,2011,0.0
61,29,2012,0.0
61,30,2009,0.0
61,30,2010,0.0
61,30,2011,0.0
61,30,2012,0.0
62,28,2009,0.0
62,28,2010,0.0
62,28,2011,0.0
62,28,2012,0.0
62,29,2009,0.0
62,29,2010,0.0
62,29,2011,0.0
62,29,2012,0.0
62,30,2009,0.0
62,30,2010,0.0
62,30,2011,0.0
62,30,2012,0.0
63,28,2009,0.0
63,28,2010,0.0
63,28,2011,0.0
63,28,2012,0.0
63,29,2009,0.0
63,29,2010,0.0
63,29,2011,0.0
63,29,2012,0.0
63,30,2009,0.0
63,30,2010,0.0
63,30,2011,0.0
63,30,2012,0.0
64,28,2009,0.0
64,28,2010,0.0
64,28,2011,0.0
64,28,2012,0.0
64,29,2009,0.0
64,29,2010,0.0
64,29,2011,0.0
64,29,2012,0.0
64,30,2009,0.0
64,30,2010,0.0
64,30,2011,0.0
64,30,2012,0.0
