,,Biomass Primary,Biodiesel processing,diesel refining,diesel blend,Biomass Primary,Biodiesel processing,diesel refining,diesel blend,Biodiesel market,Petrodiesel market,Crude Oil
Node,Region,A,A,A,A,B,B,B,B,Trade,Trade,Trade
Biomass Primary,A,0,1.1,0,0,0,0,0,0,0,0,0
Biodiesel processing,A,0,0,0,0,0,0,0,0,0.333333333,0,0
diesel refining,A,0,0,0,0,0,0,0,0,0,0.666666667,0
diesel blend,A,0,0.05,0.03,0,0,0,0,0,0,0,0
Biomass Primary,B,0,0,0,0,0,1.1,0,0,0,0,0
Biodiesel processing,B,0,0,0,0,0,0,0,0,0.666666667,0,0
diesel refining,B,0,0,0,0,0,0,0,0,0,0.333333333,0
diesel blend,B,0,0,0,0,0,0.05,0.03,0,0,0,0
Biodiesel market,Trade,0,0,0,0.4,0,0,0,0.4,0,0,0
Petrodiesel market,Trade,0,0,0,0.6,0,0,0,0.6,0,0,0
Crude Oil,Trade,0,0,1.2,0,0,0,1.2,0,0,0,0
