id,name,geography_id
1,1,1
2,2,1
3,3,1
4,4,2
5,5,2
6,6,2
7,7,2
8,8,2
9,9,2
10,10,2
11,11,2
12,12,2
13,13,2
14,14,2
15,15,2
16,16,2
17,17,2
18,18,2
19,19,2
20,20,2
21,21,2
22,22,2
23,23,2
24,24,2
25,25,2
26,26,2
27,27,2
28,28,2
29,29,2
30,30,2
31,31,2
32,32,2
33,33,2
34,34,2
35,35,2
36,36,2
37,37,2
38,38,2
39,39,2
40,40,2
41,41,2
42,42,2
43,43,2
44,44,2
45,45,2
46,46,2
47,47,2
48,48,2
49,49,2
50,50,2
51,51,2
52,52,2
53,53,2
54,54,2
55,55,2
56,56,3
57,57,3
58,58,3
59,59,3
60,60,3
61,61,3
62,62,3
63,63,3
64,64,3
65,65,4
66,66,5
67,67,5
68,68,5
69,69,5
71,71,6
72,72,6
73,73,6
74,74,6
75,75,6
76,76,6
77,77,6
78,78,7
79,79,7
80,80,7
81,81,7
82,82,7
83,83,8
84,84,8
85,85,8
86,86,8
87,87,8
88,88,8
89,89,8
90,90,8
91,91,8
92,92,8
93,93,8
94,94,8
95,95,8
96,96,8
97,97,8
98,98,8
99,99,8
100,100,8
101,101,8
102,102,8
103,103,8
104,104,8
105,105,8
106,106,8
107,107,8
108,108,8
109,109,9
110,110,9
111,111,9
112,112,9
113,113,9
114,114,9
115,115,9
116,116,9
117,117,9
118,118,9
119,119,9
120,120,9
121,121,9
122,122,10
123,123,10
124,124,10
125,125,10
126,126,10
127,127,10
128,128,10
129,129,10
