census region,air conditioning type,technology,housing types,vintage,value
66,63,42,28,2000,724306082.256
66,63,42,28,2001,22339039.7379
66,63,42,28,2002,9081665.45119
66,63,42,28,2003,0.0
66,63,42,28,2004,0.0
66,63,42,28,2005,724306082.256
66,63,42,28,2006,22339039.7379
66,63,42,28,2007,9081665.45095
66,63,42,28,2008,0.0
66,63,42,28,2009,0.0
66,63,42,28,2010,729071467.57
66,63,42,28,2011,22632981.106
66,63,42,28,2012,9261053.41544
66,63,42,28,2013,0.0
66,63,42,28,2014,0.0
66,63,42,28,2015,743371820.644
66,63,42,28,2016,22927065.0188
66,63,42,29,2000,150173443.372
66,63,42,29,2001,9591595.03938
66,63,42,29,2002,0.0
66,63,42,29,2003,1546989.17208
66,63,42,29,2004,0.0
66,63,42,29,2005,150272078.014
66,63,42,29,2006,9597894.8453
66,63,42,29,2007,0.0
66,63,42,29,2008,1546989.29138
66,63,42,29,2009,0.0
66,63,42,29,2010,151260745.234
66,63,42,29,2011,9724185.19366
66,63,42,29,2012,0.0
66,63,42,29,2013,1587703.20473
66,63,42,29,2014,0.0
66,63,42,29,2015,154227593.111
66,63,42,29,2016,9850534.04785
66,63,42,30,2000,39596039.6689
66,63,42,30,2001,0.0
66,63,42,30,2002,0.0
66,63,42,30,2003,255269.733343
66,63,42,30,2004,0.0
66,63,42,30,2005,39613359.9599
66,63,42,30,2006,0.0
66,63,42,30,2007,0.0
66,63,42,30,2008,255269.753096
66,63,42,30,2009,0.0
66,63,42,30,2010,39873984.236
66,63,42,30,2011,0.0
66,63,42,30,2012,0.0
66,63,42,30,2013,261987.985576
66,63,42,30,2014,0.0
66,63,42,30,2015,40656082.2844
66,63,42,30,2016,0.0
66,63,44,28,2000,7051148.7456
66,63,44,28,2001,0.0
66,63,44,28,2002,0.0
66,63,44,28,2003,562314083.459
66,63,44,28,2004,17342884.4011
66,63,44,28,2005,7053319.35332
66,63,44,28,2006,0.0
66,63,44,28,2007,0.0
66,63,44,28,2008,562376944.132
66,63,44,28,2009,17344823.1493
66,63,44,28,2010,7132205.75474
66,63,44,28,2011,0.0
66,63,44,28,2012,0.0
66,63,44,28,2013,586359817.355
66,63,44,28,2014,18084502.6454
66,63,44,28,2015,7363205.10882
66,63,44,28,2016,0.0
66,63,44,29,2000,0.0
66,63,44,29,2001,1200975.33812
66,63,44,29,2002,0.0
66,63,44,29,2003,116663359.8
66,63,44,29,2004,7451302.1611
66,63,44,29,2005,0.0
66,63,44,29,2006,1201056.73037
66,63,44,29,2007,0.0
66,63,44,29,2008,116676099.798
66,63,44,29,2009,7452115.86621
66,63,44,29,2010,0.0
66,63,44,29,2011,1226738.44956
66,63,44,29,2012,0.0
66,63,44,29,2013,121651183.722
66,63,44,29,2014,7769875.04665
66,63,44,29,2015,0.0
66,63,44,29,2016,1252738.09342
66,63,44,30,2000,0.0
66,63,44,30,2001,198173.767153
66,63,44,30,2002,0.0
66,63,44,30,2003,30753750.0666
66,63,44,30,2004,0.0
66,63,44,30,2005,0.0
66,63,44,30,2006,198187.233055
66,63,44,30,2007,0.0
66,63,44,30,2008,30757134.8557
66,63,44,30,2009,0.0
66,63,44,30,2010,0.0
66,63,44,30,2011,202425.086514
66,63,44,30,2012,0.0
66,63,44,30,2013,32068678.338
66,63,44,30,2014,0.0
66,63,44,30,2015,0.0
66,63,44,30,2016,206715.517194
66,63,45,28,2000,0.0
66,63,45,28,2001,1144699162.47
66,63,45,28,2002,35304798.2127
66,63,45,28,2003,14385407.0206
66,63,45,28,2004,0.0
66,63,45,28,2005,0.0
66,63,45,28,2006,1145698748.75
66,63,45,28,2007,35335627.4413
66,63,45,28,2008,14408876.5005
66,63,45,28,2009,0.0
66,63,45,28,2010,0.0
66,63,45,28,2011,956052541.614
66,63,45,28,2012,26537905.2001
66,63,45,28,2013,9625203.86481
66,63,45,28,2014,0.0
66,63,45,28,2015,0.0
66,63,45,28,2016,766359087.03
66,63,45,29,2000,0.0
66,63,45,29,2001,237486805.781
66,63,45,29,2002,15168309.5033
66,63,45,29,2003,0.0
66,63,45,29,2004,2446471.45079
66,63,45,29,2005,0.0
66,63,45,29,2006,237690617.113
66,63,45,29,2007,15181326.9565
66,63,45,29,2008,0.0
66,63,45,29,2009,2450182.3265
66,63,45,29,2010,0.0
66,63,45,29,2011,198341472.232
66,63,45,29,2012,11401283.3068
66,63,45,29,2013,0.0
66,63,45,29,2014,1637466.39292
66,63,45,29,2015,0.0
66,63,45,29,2016,158982824.115
66,63,45,30,2000,0.0
66,63,45,30,2001,62604498.4535
66,63,45,30,2002,0.0
66,63,45,30,2003,0.0
66,63,45,30,2004,403695.379084
66,63,45,30,2005,0.0
66,63,45,30,2006,62658537.5335
66,63,45,30,2007,0.0
66,63,45,30,2008,0.0
66,63,45,30,2009,404309.045989
66,63,45,30,2010,0.0
66,63,45,30,2011,52285949.9994
66,63,45,30,2012,0.0
66,63,45,30,2013,0.0
66,63,45,30,2014,270202.723851
