census region,air conditioning type,technology,housing types,vintage,value
66,63,42,28,2000,152485491.001
66,63,42,28,2001,4702955.7343
66,63,42,28,2002,1911929.56867
66,63,42,28,2003,0.0
66,63,42,28,2004,0.0
66,63,42,28,2005,152485491.001
66,63,42,28,2006,4702955.7343
66,63,42,28,2007,1911929.56862
66,63,42,28,2008,0.0
66,63,42,28,2009,0.0
66,63,42,28,2010,152485535.701
66,63,42,28,2011,4702957.11293
66,63,42,28,2012,1911959.4148
66,63,42,28,2013,0.0
66,63,42,28,2014,0.0
66,63,42,28,2015,152486527.312
66,63,42,28,2016,4702987.69617
66,63,42,29,2000,31615461.7625
66,63,42,29,2001,2019283.16619
66,63,42,29,2002,0.0
66,63,42,29,2003,325681.930964
66,63,42,29,2004,0.0
66,63,42,29,2005,31636226.9504
66,63,42,29,2006,2020609.44112
66,63,42,29,2007,0.0
66,63,42,29,2008,325681.956079
66,63,42,29,2009,0.0
66,63,42,29,2010,31636234.2974
66,63,42,29,2011,2020609.91037
66,63,42,29,2012,0.0
66,63,42,29,2013,325682.708662
66,63,42,29,2014,0.0
66,63,42,29,2015,31636429.356
66,63,42,29,2016,2020622.36879
66,63,42,30,2000,8336008.35134
66,63,42,30,2001,0.0
66,63,42,30,2002,0.0
66,63,42,30,2003,53740.9964932
66,63,42,30,2004,0.0
66,63,42,30,2005,8339654.7284
66,63,42,30,2006,0.0
66,63,42,30,2007,0.0
66,63,42,30,2008,53741.0006518
66,63,42,30,2009,0.0
66,63,42,30,2010,8339656.83367
66,63,42,30,2011,0.0
66,63,42,30,2012,0.0
66,63,42,30,2013,53741.1252463
66,63,42,30,2014,0.0
66,63,42,30,2015,8339709.18655
66,63,42,30,2016,0.0
66,63,44,28,2000,1075598.96119
66,63,44,28,2001,0.0
66,63,44,28,2002,0.0
66,63,44,28,2003,85776724.5955
66,63,44,28,2004,2645524.73915
66,63,44,28,2005,1075930.07085
66,63,44,28,2006,0.0
66,63,44,28,2007,0.0
66,63,44,28,2008,85786313.5117
66,63,44,28,2009,2645820.48039
66,63,44,28,2010,1076559.35921
66,63,44,28,2011,0.0
66,63,44,28,2012,0.0
66,63,44,28,2013,85808753.7593
66,63,44,28,2014,2646512.58225
66,63,44,28,2015,1077542.21105
66,63,44,28,2016,0.0
66,63,44,29,2000,0.0
66,63,44,29,2001,183199.627849
66,63,44,29,2002,0.0
66,63,44,29,2003,17796105.7322
66,63,44,29,2004,1136639.31271
66,63,44,29,2005,0.0
66,63,44,29,2006,183212.043616
66,63,44,29,2007,0.0
