census region,air conditioning type,technology,housing types,vintage,value
66,63,42,28,2000,631.816549646
66,63,42,28,2001,19.4864786521
66,63,42,28,2002,421.582683314
66,63,42,28,2003,0.0
66,63,42,28,2004,0.0
66,63,42,28,2005,10792568.7441
66,63,42,28,2006,332864.27928
66,63,42,28,2007,135764.86924
66,63,42,28,2008,0.0
66,63,42,28,2009,0.0
66,63,42,28,2010,9943936.07142
66,63,42,28,2011,306690.760291
66,63,42,28,2012,125092.755048
66,63,42,28,2013,0.0
66,63,42,28,2014,0.0
66,63,42,28,2015,8653245.87413
66,63,42,28,2016,266883.308286
66,63,42,29,2000,0.0
66,63,42,29,2001,0.0
66,63,42,29,2002,0.0
66,63,42,29,2003,22231.2619062
66,63,42,29,2004,0.0
66,63,42,29,2005,2218242.30762
66,63,42,29,2006,141679.390418
66,63,42,29,2007,0.0
66,63,42,29,2008,46870.4545405
66,63,42,29,2009,0.0
66,63,42,29,2010,2042170.94236
66,63,42,29,2011,130433.69214
66,63,42,29,2012,0.0
66,63,42,29,2013,44932.2007697
66,63,42,29,2014,0.0
66,63,42,29,2015,1774353.47672
66,63,42,29,2016,113328.159915
66,63,42,30,2000,0.0
66,63,42,30,2001,0.0
66,63,42,30,2002,0.0
66,63,42,30,2003,3680.98463468
66,63,42,30,2004,0.0
66,63,42,30,2005,586580.442038
66,63,42,30,2006,0.0
66,63,42,30,2007,0.0
66,63,42,30,2008,7746.7145588
66,63,42,30,2009,0.0
66,63,42,30,2010,540166.053006
66,63,42,30,2011,0.0
66,63,42,30,2012,0.0
66,63,42,30,2013,7426.88235723
66,63,42,30,2014,0.0
66,63,42,30,2015,469566.167838
66,63,42,30,2016,0.0
66,63,44,28,2000,61144.8395592
66,63,44,28,2001,0.0
66,63,44,28,2002,0.0
66,63,44,28,2003,2972822.80614
66,63,44,28,2004,91687.7663009
66,63,44,28,2005,37091.2062341
66,63,44,28,2006,0.0
66,63,44,28,2007,0.0
66,63,44,28,2008,2018567.40751
66,63,44,28,2009,62256.6324301
66,63,44,28,2010,24614.7149809
66,63,44,28,2011,0.0
66,63,44,28,2012,0.0
66,63,44,28,2013,2625962.32056
66,63,44,28,2014,80989.8992516
66,63,44,28,2015,31530.7195897
66,63,44,28,2016,0.0
66,63,44,29,2000,0.0
66,63,44,29,2001,23614.6636256
66,63,44,29,2002,0.0
66,63,44,29,2003,604941.621426
66,63,44,29,2004,38637.6906923
66,63,44,29,2005,0.0
66,63,44,29,2006,19282.7731628
66,63,44,29,2007,0.0
66,63,44,29,2008,406873.486217
66,63,44,29,2009,25987.056196
66,63,44,29,2010,0.0
66,63,44,29,2011,17089.3195
66,63,44,29,2012,0.0
66,63,44,29,2013,532778.447634
66,63,44,29,2014,34028.6205116
66,63,44,29,2015,0.0
66,63,44,29,2016,18444.7705109
66,63,44,30,2000,0.0
66,63,44,30,2001,3903.75425261
