,gen1,gen2,gen3,gen4,gen5,gen6,gen7,gen8,gen9,gen10,gen11,gen12,gen13,gen14,gen15,gen16,gen17,gen18,gen19,gen20,gen21,gen22,gen23,gen24,gen25,gen26,gen27,gen28,gen29,gen30,gen31,gen32,gen33,gen34,gen35,gen36,gen37,gen38,gen39,gen40,gen41,gen42,gen43,gen44,gen45,gen46,gen47,gen48,gen49,gen50,gen51,gen52,gen53,gen54,gen55,gen56,gen57,gen58,gen59,gen60,gen61,gen62,gen63,gen64,gen65,gen66,gen67,gen68,gen69,gen70,gen71,gen72,gen73,gen74,gen75,gen76,gen77,gen78,gen79,gen80,gen81,gen82,gen83,gen84,gen85,gen86,gen87,gen88,gen89,gen90,gen91,gen92,gen93,gen94,gen95,gen96,gen97,gen98,gen99,gen100,gen101,gen102,gen103,gen104,gen105,gen106,gen107,gen108,gen109,gen110,gen111,gen112,gen113,gen114,gen115,gen116,gen117,gen118,gen119,gen120,gen121,gen122,gen123,gen124,gen125,gen126,gen127,gen128,gen129,gen130,gen131,gen132,gen133,gen134,gen135,gen136,gen137,gen138,gen139,gen140,gen141,gen142,gen143,gen144,gen145,gen146,gen147,gen148,gen149,gen150,gen151,gen152,gen153,gen154,gen155,gen156,gen157,gen158,gen159,gen160,gen161,gen162,gen163,gen164,gen165,gen166,gen167,gen168,gen169,gen170,gen171,gen172,gen173,gen174,gen175,gen176,gen177,gen178,gen179,gen180
1,196,130,466,36,855,389,194,452,808,822,118,832,743,916,238,20,349,402,260,50,366,374,410,684,9,819,844,826,373,429,710,306,928,512,162,684,527,228,609,611,973,823,967,609,204,990,617,611,468,575,854,262,32,437,182,353,361,665,244,625,450,455,459,559,457,364,948,230,698,584,880,411,192,60,549,286,803,122,285,464,715,595,414,246,674,918,710,826,398,981,328,302,828,567,925,387,615,477,311,768,901,369,240,106,502,422,768,307,567,297,30,64,88,294,919,302,579,568,523,499,442,490,971,489,743,375,168,128,423,795,897,756,200,6,510,253,456,611,7,903,761,325,4,117,851,395,517,359,517,402,96,473,22,310,677,490,156,525,510,146,862,18,293,18,569,885,78,565,403,509,381,638,891,364,4,309,727,138,257,325
2,196,130,466,36,855,389,194,452,808,822,118,832,743,916,238,20,349,402,260,50,366,374,410,684,9,819,844,826,373,429,710,306,928,512,162,684,527,228,609,611,973,823,967,609,204,990,617,611,468,575,854,262,32,437,182,353,361,665,244,625,450,455,459,559,457,364,948,230,698,584,880,411,192,60,549,286,803,122,285,464,715,595,414,246,674,918,710,826,398,981,328,302,828,567,925,387,615,477,311,768,901,369,240,106,502,422,768,307,567,297,30,64,88,294,919,302,579,568,523,499,442,490,971,489,743,375,168,128,423,795,897,756,200,6,510,253,456,611,7,903,761,325,4,117,851,395,517,359,517,402,96,473,22,310,677,490,156,525,510,146,862,18,293,18,569,885,78,565,403,509,381,638,891,364,4,309,727,138,257,325
3,196,130,466,36,855,389,194,452,808,822,118,832,743,916,238,20,349,402,260,50,366,374,410,684,9,819,844,826,373,429,710,306,928,512,162,684,527,228,609,611,973,823,967,609,204,990,617,611,468,575,854,262,32,437,182,353,361,665,244,625,450,455,459,559,457,364,948,230,698,584,880,411,192,60,549,286,803,122,285,464,715,595,414,246,674,918,710,826,398,981,328,302,828,567,925,387,615,477,311,768,901,369,240,106,502,422,768,307,567,297,30,64,88,294,919,302,579,568,523,499,442,490,971,489,743,375,168,128,423,795,897,756,200,6,510,253,456,611,7,903,761,325,4,117,851,395,517,359,517,402,96,473,22,310,677,490,156,525,510,146,862,18,293,18,569,885,78,565,403,509,381,638,891,364,4,309,727,138,257,325
4,196,130,466,36,855,389,194,452,808,822,118,832,743,916,238,20,349,402,260,50,366,374,410,684,9,819,844,826,373,429,710,306,928,512,162,684,527,228,609,611,973,823,967,609,204,990,617,611,468,575,854,262,32,437,182,353,361,665,244,625,450,455,459,559,457,364,948,230,698,584,880,411,192,60,549,286,803,122,285,464,715,595,414,246,674,918,710,826,398,981,328,302,828,567,925,387,615,477,311,768,901,369,240,106,502,422,768,307,567,297,30,64,88,294,919,302,579,568,523,499,442,490,971,489,743,375,168,128,423,795,897,756,200,6,510,253,456,611,7,903,761,325,4,117,851,395,517,359,517,402,96,473,22,310,677,490,156,525,510,146,862,18,293,18,569,885,78,565,403,509,381,638,891,364,4,309,727,138,257,325
5,196,130,466,36,855,389,194,452,808,822,118,832,743,916,238,20,349,402,260,50,366,374,410,684,9,819,844,826,373,429,710,306,928,512,162,684,527,228,609,611,973,823,967,609,204,990,617,611,468,575,854,262,32,437,182,353,361,665,244,625,450,455,459,559,457,364,948,230,698,584,880,411,192,60,549,286,803,122,285,464,715,595,414,246,674,918,710,826,398,981,328,302,828,567,925,387,615,477,311,768,901,369,240,106,502,422,768,307,567,297,30,64,88,294,919,302,579,568,523,499,442,490,971,489,743,375,168,128,423,795,897,756,200,6,510,253,456,611,7,903,761,325,4,117,851,395,517,359,517,402,96,473,22,310,677,490,156,525,510,146,862,18,293,18,569,885,78,565,403,509,381,638,891,364,4,309,727,138,257,325
6,190.12,126.1,452.02,34.92,829.35,377.33,188.18,438.44,783.76,797.34,114.46,807.04,720.71,888.52,230.86,19.4,338.53,389.94,252.2,48.5,355.02,362.78,397.7,663.48,8.73,794.43,818.68,801.22,361.81,416.13,688.7,296.82,900.16,496.64,157.14,663.48,511.19,221.16,590.73,592.67,943.81,798.31,937.99,590.73,197.88,960.3,598.49,592.67,453.96,557.75,828.38,254.14,31.04,423.89,176.54,342.41,350.17,645.05,236.68,606.25,436.5,441.35,445.23,542.23,443.29,353.08,919.56,223.1,677.06,566.48,853.6,398.67,186.24,58.2,532.53,277.42,778.91,118.34,276.45,450.08,693.55,577.15,401.58,238.62,653.78,890.46,688.7,801.22,386.06,951.57,318.16,292.94,803.16,549.99,897.25,375.39,596.55,462.69,301.67,744.96,873.97,357.93,232.8,102.82,486.94,409.34,744.96,297.79,549.99,288.09,29.1,62.08,85.36,285.18,891.43,292.94,561.63,550.96,507.31,484.03,428.74,475.3,941.87,474.33,720.71,363.75,162.96,124.16,410.31,771.15,870.09,733.32,194,5.82,494.7,245.41,442.32,592.67,6.79,875.91,738.17,315.25,3.88,113.49,825.47,383.15,501.49,348.23,501.49,389.94,93.12,458.81,21.34,300.7,656.69,475.3,151.32,509.25,494.7,141.62,836.14,17.46,284.21,17.46,551.93,858.45,75.66,548.05,390.91,493.73,369.57,618.86,864.27,353.08,3.88,299.73,705.19,133.86,249.29,315.25
7,186.2,123.5,442.7,34.2,812.25,369.55,184.3,429.4,767.6,780.9,112.1,790.4,705.85,870.2,226.1,19,331.55,381.9,247,47.5,347.7,355.3,389.5,649.8,8.55,778.05,801.8,784.7,354.35,407.55,674.5,290.7,881.6,486.4,153.9,649.8,500.65,216.6,578.55,580.45,924.35,781.85,918.65,578.55,193.8,940.5,586.15,580.45,444.6,546.25,811.3,248.9,30.4,415.15,172.9,335.35,342.95,631.75,231.8,593.75,427.5,432.25,436.05,531.05,434.15,345.8,900.6,218.5,663.1,554.8,836,390.45,182.4,57,521.55,271.7,762.85,115.9,270.75,440.8,679.25,565.25,393.3,233.7,640.3,872.1,674.5,784.7,378.1,931.95,311.6,286.9,786.6,538.65,878.75,367.65,584.25,453.15,295.45,729.6,855.95,350.55,228,100.7,476.9,400.9,729.6,291.65,538.65,282.15,28.5,60.8,83.6,279.3,873.05,286.9,550.05,539.6,496.85,474.05,419.9,465.5,922.45,464.55,705.85,356.25,159.6,121.6,401.85,755.25,852.15,718.2,190,5.7,484.5,240.35,433.2,580.45,6.65,857.85,722.95,308.75,3.8,111.15,808.45,375.25,491.15,341.05,491.15,381.9,91.2,449.35,20.9,294.5,643.15,465.5,148.2,498.75,484.5,138.7,818.9,17.1,278.35,17.1,540.55,840.75,74.1,536.75,382.85,483.55,361.95,606.1,846.45,345.8,3.8,293.55,690.65,131.1,244.15,308.75
8,186.2,123.5,442.7,34.2,812.25,369.55,184.3,429.4,767.6,780.9,112.1,790.4,705.85,870.2,226.1,19,331.55,381.9,247,47.5,347.7,355.3,389.5,649.8,8.55,778.05,801.8,784.7,354.35,407.55,674.5,290.7,881.6,486.4,153.9,649.8,500.65,216.6,578.55,580.45,924.35,781.85,918.65,578.55,193.8,940.5,586.15,580.45,444.6,546.25,811.3,248.9,30.4,415.15,172.9,335.35,342.95,631.75,231.8,593.75,427.5,432.25,436.05,531.05,434.15,345.8,900.6,218.5,663.1,554.8,836,390.45,182.4,57,521.55,271.7,762.85,115.9,270.75,440.8,679.25,565.25,393.3,233.7,640.3,872.1,674.5,784.7,378.1,931.95,311.6,286.9,786.6,538.65,878.75,367.65,584.25,453.15,295.45,729.6,855.95,350.55,228,100.7,476.9,400.9,729.6,291.65,538.65,282.15,28.5,60.8,83.6,279.3,873.05,286.9,550.05,539.6,496.85,474.05,419.9,465.5,922.45,464.55,705.85,356.25,159.6,121.6,401.85,755.25,852.15,718.2,190,5.7,484.5,240.35,433.2,580.45,6.65,857.85,722.95,308.75,3.8,111.15,808.45,375.25,491.15,341.05,491.15,381.9,91.2,449.35,20.9,294.5,643.15,465.5,148.2,498.75,484.5,138.7,818.9,17.1,278.35,17.1,540.55,840.75,74.1,536.75,382.85,483.55,361.95,606.1,846.45,345.8,3.8,293.55,690.65,131.1,244.15,308.75
9,190.12,126.1,452.02,34.92,829.35,377.33,188.18,438.44,783.76,797.34,114.46,807.04,720.71,888.52,230.86,19.4,338.53,389.94,252.2,48.5,355.02,362.78,397.7,663.48,8.73,794.43,818.68,801.22,361.81,416.13,688.7,296.82,900.16,496.64,157.14,663.48,511.19,221.16,590.73,592.67,943.81,798.31,937.99,590.73,197.88,960.3,598.49,592.67,453.96,557.75,828.38,254.14,31.04,423.89,176.54,342.41,350.17,645.05,236.68,606.25,436.5,441.35,445.23,542.23,443.29,353.08,919.56,223.1,677.06,566.48,853.6,398.67,186.24,58.2,532.53,277.42,778.91,118.34,276.45,450.08,693.55,577.15,401.58,238.62,653.78,890.46,688.7,801.22,386.06,951.57,318.16,292.94,803.16,549.99,897.25,375.39,596.55,462.69,301.67,744.96,873.97,357.93,232.8,102.82,486.94,409.34,744.96,297.79,549.99,288.09,29.1,62.08,85.36,285.18,891.43,292.94,561.63,550.96,507.31,484.03,428.74,475.3,941.87,474.33,720.71,363.75,162.96,124.16,410.31,771.15,870.09,733.32,194,5.82,494.7,245.41,442.32,592.67,6.79,875.91,738.17,315.25,3.88,113.49,825.47,383.15,501.49,348.23,501.49,389.94,93.12,458.81,21.34,300.7,656.69,475.3,151.32,509.25,494.7,141.62,836.14,17.46,284.21,17.46,551.93,858.45,75.66,548.05,390.91,493.73,369.57,618.86,864.27,353.08,3.88,299.73,705.19,133.86,249.29,315.25
10,196,130,466,36,855,389,194,452,808,822,118,832,743,916,238,20,349,402,260,50,366,374,410,684,9,819,844,826,373,429,710,306,928,512,162,684,527,228,609,611,973,823,967,609,204,990,617,611,468,575,854,262,32,437,182,353,361,665,244,625,450,455,459,559,457,364,948,230,698,584,880,411,192,60,549,286,803,122,285,464,715,595,414,246,674,918,710,826,398,981,328,302,828,567,925,387,615,477,311,768,901,369,240,106,502,422,768,307,567,297,30,64,88,294,919,302,579,568,523,499,442,490,971,489,743,375,168,128,423,795,897,756,200,6,510,253,456,611,7,903,761,325,4,117,851,395,517,359,517,402,96,473,22,310,677,490,156,525,510,146,862,18,293,18,569,885,78,565,403,509,381,638,891,364,4,309,727,138,257,325
