supply_tech_id,gau,oth_1,resource_bin,vintage,value,id
25,us,,,2015,0.93,4
28,us,,,2015,0.9,7
29,us,,,2015,0.9,8
31,us,,,2015,0.9,10
32,us,,,2015,0.9,11
39,us,,,2015,0.7,15
42,us,,,2015,0.9,16
51,us,,,2015,0.55,17
52,us,,,2015,0.6,18
53,us,,,2015,0.7,19
54,us,,,2015,0.6,20
55,us,,,2015,0.4,21
57,us,,,2015,0.65,23
58,us,,,2015,0.35,24
59,us,,,2015,0.55,25
61,us,,,2015,0.7,26
62,us,,,2015,0.35,27
63,us,,,2015,0.35,28
64,us,,,2015,0.9,29
65,us,,,2015,0.55,30
67,us,,,2015,0.55,31
68,us,,,2015,0.55,32
69,us,,,2015,0.55,33
71,us,,,2015,0.55,34
72,us,,,2015,0.55,35
75,us,,,2015,0.9,36
1,new england,,1.0,2015,0.2811,40
1,new england,,2.0,2015,0.271,41
1,new england,,3.0,2015,0.2782,42
1,new england,,4.0,2015,0.2706,43
1,new england,,5.0,2015,0.2621,44
2,new england,,1.0,2015,0.4433,45
2,new england,,2.0,2015,0.4603,46
2,new england,,3.0,2015,0.4591,47
2,new england,,4.0,2015,0.4597,48
2,new england,,5.0,2015,0.3905,49
35,new england,,1.0,2015,0.1667,50
35,new england,,2.0,2015,0.1667,51
35,new england,,3.0,2015,0.1666,52
35,new england,,4.0,2015,0.1667,53
35,new england,,5.0,2015,0.1667,54
38,new england,,1.0,2015,0.0,55
38,new england,,2.0,2015,0.0,56
38,new england,,3.0,2015,0.0,57
38,new england,,4.0,2015,0.0,58
38,new england,,5.0,2015,0.0,59
1,middle atlantic,,1.0,2015,0.2559,60
1,middle atlantic,,2.0,2015,0.2585,61
1,middle atlantic,,3.0,2015,0.2606,62
1,middle atlantic,,4.0,2015,0.2604,63
1,middle atlantic,,5.0,2015,0.2567,64
2,middle atlantic,,1.0,2015,0.4126,65
2,middle atlantic,,2.0,2015,0.4116,66
2,middle atlantic,,3.0,2015,0.4116,67
2,middle atlantic,,4.0,2015,0.4183,68
2,middle atlantic,,5.0,2015,0.3737,69
35,middle atlantic,,1.0,2015,0.1667,70
35,middle atlantic,,2.0,2015,0.1667,71
35,middle atlantic,,3.0,2015,0.1666,72
35,middle atlantic,,4.0,2015,0.1666,73
35,middle atlantic,,5.0,2015,0.1666,74
38,middle atlantic,,1.0,2015,0.0,75
38,middle atlantic,,2.0,2015,0.0,76
38,middle atlantic,,3.0,2015,0.0,77
38,middle atlantic,,4.0,2015,0.0,78
38,middle atlantic,,5.0,2015,0.0,79
1,east north central,,1.0,2015,0.2568,80
1,east north central,,2.0,2015,0.2617,81
1,east north central,,3.0,2015,0.26,82
1,east north central,,4.0,2015,0.2659,83
1,east north central,,5.0,2015,0.2554,84
2,east north central,,1.0,2015,0.3684,85
2,east north central,,2.0,2015,0.3753,86
2,east north central,,3.0,2015,0.3585,87
2,east north central,,4.0,2015,0.3604,88
2,east north central,,5.0,2015,0.323,89
35,east north central,,1.0,2015,0.1667,90
35,east north central,,2.0,2015,0.1667,91
35,east north central,,3.0,2015,0.1667,92
35,east north central,,4.0,2015,0.1667,93
35,east north central,,5.0,2015,0.1667,94
38,east north central,,1.0,2015,0.0,95
38,east north central,,2.0,2015,0.0,96
38,east north central,,3.0,2015,0.0,97
38,east north central,,4.0,2015,0.0,98
38,east north central,,5.0,2015,0.0,99
1,west north central,,1.0,2015,0.4156,100
1,west north central,,2.0,2015,0.3981,101
1,west north central,,3.0,2015,0.3907,102
1,west north central,,4.0,2015,0.3863,103
1,west north central,,5.0,2015,0.3372,104
2,west north central,,1.0,2015,0.255,105
2,west north central,,2.0,2015,0.255,106
2,west north central,,3.0,2015,0.255,107
2,west north central,,4.0,2015,0.255,108
2,west north central,,5.0,2015,0.255,109
35,west north central,,1.0,2015,0.1845,110
35,west north central,,2.0,2015,0.1815,111
35,west north central,,3.0,2015,0.1858,112
35,west north central,,4.0,2015,0.2034,113
35,west north central,,5.0,2015,0.1815,114
38,west north central,,1.0,2015,0.2109,115
38,west north central,,2.0,2015,0.2122,116
38,west north central,,3.0,2015,0.2103,117
38,west north central,,4.0,2015,0.2093,118
38,west north central,,5.0,2015,0.2089,119
1,south atlantic,,1.0,2015,0.2604,120
1,south atlantic,,2.0,2015,0.2592,121
1,south atlantic,,3.0,2015,0.2626,122
1,south atlantic,,4.0,2015,0.2658,123
1,south atlantic,,5.0,2015,0.2599,124
2,south atlantic,,1.0,2015,0.3451,125
2,south atlantic,,2.0,2015,0.3844,126
2,south atlantic,,3.0,2015,0.3828,127
2,south atlantic,,4.0,2015,0.3743,128
2,south atlantic,,5.0,2015,0.2969,129
35,south atlantic,,1.0,2015,0.2064,130
35,south atlantic,,2.0,2015,0.2055,131
35,south atlantic,,3.0,2015,0.2059,132
35,south atlantic,,4.0,2015,0.2067,133
35,south atlantic,,5.0,2015,0.2032,134
38,south atlantic,,1.0,2015,0.2083,135
38,south atlantic,,2.0,2015,0.2083,136
38,south atlantic,,3.0,2015,0.2083,137
38,south atlantic,,4.0,2015,0.2083,138
38,south atlantic,,5.0,2015,0.2083,139
1,east south central,,1.0,2015,0.2592,140
1,east south central,,2.0,2015,0.2657,141
1,east south central,,3.0,2015,0.2604,142
1,east south central,,4.0,2015,0.2573,143
1,east south central,,5.0,2015,0.2559,144
2,east south central,,1.0,2015,0.255,145
2,east south central,,2.0,2015,0.255,146
2,east south central,,3.0,2015,0.255,147
2,east south central,,4.0,2015,0.255,148
2,east south central,,5.0,2015,0.255,149
35,east south central,,1.0,2015,0.1885,150
35,east south central,,2.0,2015,0.1964,151
35,east south central,,3.0,2015,0.1956,152
35,east south central,,4.0,2015,0.2042,153
35,east south central,,5.0,2015,0.1905,154
38,east south central,,1.0,2015,0.2083,155
38,east south central,,2.0,2015,0.2083,156
38,east south central,,3.0,2015,0.2083,157
38,east south central,,4.0,2015,0.2083,158
38,east south central,,5.0,2015,0.2083,159
1,west south central,,1.0,2015,0.3749,160
1,west south central,,2.0,2015,0.3733,161
1,west south central,,3.0,2015,0.3616,162
1,west south central,,4.0,2015,0.3586,163
1,west south central,,5.0,2015,0.3014,164
2,west south central,,1.0,2015,0.3712,165
2,west south central,,2.0,2015,0.3595,166
2,west south central,,3.0,2015,0.3679,167
2,west south central,,4.0,2015,0.3731,168
2,west south central,,5.0,2015,0.3261,169
35,west south central,,1.0,2015,0.2136,170
35,west south central,,2.0,2015,0.2219,171
35,west south central,,3.0,2015,0.2245,172
35,west south central,,4.0,2015,0.232,173
35,west south central,,5.0,2015,0.215,174
38,west south central,,1.0,2015,0.2455,175
38,west south central,,2.0,2015,0.2448,176
38,west south central,,3.0,2015,0.232,177
38,west south central,,4.0,2015,0.2394,178
38,west south central,,5.0,2015,0.2281,179
1,mountain,,1.0,2015,0.3778,180
1,mountain,,2.0,2015,0.3895,181
1,mountain,,3.0,2015,0.336,182
1,mountain,,4.0,2015,0.3745,183
1,mountain,,5.0,2015,0.2958,184
2,mountain,,1.0,2015,0.0,185
